,chestcircumference,waistcircumference,crotchheight,stature,weightkg
0,92.2,85.0,75.9,156.0,65.7
1,83.9,70.8,83.5,166.5,53.4
2,87.4,72.7,82.1,171.1,66.3
3,100.8,92.3,80.4,166.0,78.2
4,108.9,116.3,72.6,157.2,88.6
5,103.1,96.8,86.4,170.7,83.7
6,98.8,96.4,77.8,164.4,73.2
7,96.8,91.4,80.3,167.1,76.0
8,83.1,75.5,75.3,152.1,54.5
9,101.0,94.4,75.0,159.0,68.4
10,106.5,93.5,81.0,170.7,99.0
11,103.4,94.2,82.2,166.8,74.2
12,106.3,99.5,78.1,165.4,78.1
13,93.7,84.8,80.1,166.6,71.8
14,98.9,92.9,77.2,159.9,70.9
15,94.0,83.5,78.6,167.3,67.2
16,83.5,77.2,76.5,164.7,62.0
17,89.7,80.5,83.3,167.8,59.5
18,97.9,86.8,83.5,167.9,74.1
19,85.3,79.2,73.3,161.5,60.5
20,109.0,113.7,66.4,151.7,80.0
21,94.1,88.1,83.9,167.4,74.7
22,85.7,70.2,77.0,162.3,49.1
23,97.3,95.4,80.0,166.8,70.3
24,97.5,79.6,83.1,164.4,71.5
25,102.6,100.0,77.4,157.9,70.8
26,83.2,74.2,61.0,144.6,48.8
27,92.1,91.2,77.4,162.0,69.1
28,103.2,91.3,82.2,168.4,73.0
29,90.4,82.1,80.2,161.9,61.0
30,95.1,93.0,75.5,159.2,65.8
31,95.0,90.1,78.9,165.5,70.9
32,96.5,93.5,83.9,172.3,72.8
33,111.5,107.7,80.9,167.7,84.6
34,117.0,111.2,76.4,165.4,94.5
35,89.5,81.2,80.1,163.4,62.7
36,94.4,86.9,88.2,168.3,57.8
37,83.3,71.2,76.2,155.2,52.4
38,102.5,105.7,79.2,161.7,73.2
39,98.2,96.4,73.1,158.8,79.1
40,106.0,113.4,74.4,164.1,89.4
41,99.1,86.9,81.2,168.5,68.9
42,99.4,94.2,77.5,165.6,75.8
43,107.1,101.9,74.6,160.3,73.1
44,94.5,86.5,74.3,160.8,74.8
45,109.4,97.5,79.5,166.4,80.6
46,93.2,81.4,80.7,161.9,71.4
47,101.3,94.7,80.8,162.0,71.2
48,91.0,79.4,86.9,172.0,65.7
49,79.3,67.9,77.4,158.2,47.7
50,95.4,89.0,82.3,172.0,69.6
51,116.1,133.4,80.4,172.0,119.6
52,113.5,107.6,83.7,170.1,88.7
53,109.5,100.7,73.7,162.7,75.4
54,101.4,89.7,69.4,153.6,67.8
55,94.6,83.2,72.3,154.6,60.7
56,81.4,76.6,80.3,165.4,57.2
57,94.0,87.8,77.4,160.5,68.9
58,98.8,94.3,79.4,163.0,71.2
59,90.4,82.5,76.6,161.2,60.4
60,87.6,81.2,93.4,175.7,69.7
61,109.0,106.2,82.5,167.0,85.4
62,94.3,91.4,77.0,163.2,61.7
63,113.2,98.7,76.7,163.5,79.0
64,97.7,86.8,77.4,168.2,67.2
65,97.7,83.9,77.7,166.1,69.5
66,100.6,81.4,75.4,159.6,66.9
67,93.6,80.4,75.8,159.6,57.4
68,106.5,92.5,77.5,166.5,81.5
69,89.0,80.5,77.6,161.7,61.8
70,90.0,81.1,77.1,155.5,64.5
71,86.2,75.7,72.9,157.8,55.7
72,89.6,83.9,71.8,158.1,61.4
73,94.3,82.1,76.2,169.8,66.8
74,109.2,100.1,70.5,155.4,73.0
75,92.0,86.0,83.5,175.6,73.7
76,107.1,92.2,71.4,156.6,69.3
77,100.1,101.2,81.6,165.1,75.7
78,112.6,98.1,72.3,158.5,74.0
79,98.2,87.0,80.8,165.7,68.2
80,106.9,93.1,80.8,171.9,86.7
81,106.1,89.5,88.8,182.2,88.2
82,103.1,92.5,78.5,164.9,78.6
83,92.4,75.1,77.3,168.7,62.2
84,99.9,101.9,82.8,169.8,78.2
85,86.5,78.4,73.3,153.0,60.8
86,99.8,91.7,71.2,158.1,67.4
87,93.0,86.5,77.3,160.9,68.6
88,93.4,84.7,79.8,164.4,67.0
89,85.6,78.5,76.0,154.8,63.5
90,97.9,100.4,73.2,160.6,77.3
91,85.2,75.9,76.3,164.2,55.5
92,101.4,95.5,71.4,162.2,72.7
93,84.1,69.4,79.4,166.9,59.3
94,105.7,106.8,84.5,174.5,99.8
95,98.6,94.8,68.3,149.5,58.1
96,95.1,91.2,69.1,149.3,64.2
97,106.8,98.9,79.0,164.1,75.8
98,94.5,88.7,72.1,160.7,68.3
99,82.6,69.8,72.9,156.0,47.1
100,97.8,82.2,76.4,162.5,66.5
101,97.8,88.5,76.6,167.0,68.5
102,87.0,76.4,75.0,161.6,57.9
103,108.0,94.3,72.5,158.2,64.7
104,92.1,80.9,84.7,173.0,59.1
105,84.6,73.9,70.9,150.1,45.0
106,95.9,82.6,67.4,151.5,57.2
107,102.2,96.2,73.8,157.6,72.1
108,87.8,84.9,79.0,162.8,67.6
109,102.9,95.1,71.6,158.6,71.1
110,93.6,88.9,82.9,173.7,79.1
111,83.4,79.0,73.4,157.6,53.6
112,93.1,81.1,79.0,162.6,63.9
113,98.1,83.1,78.2,160.4,62.8
114,103.7,95.8,78.4,167.3,78.8
115,98.1,76.1,77.4,164.2,59.8
116,105.2,107.0,72.4,153.8,75.2
117,102.8,92.3,73.3,157.4,68.6
118,94.6,94.9,77.8,163.7,66.8
119,93.0,85.8,75.3,162.0,61.3
120,93.7,85.9,82.4,173.3,74.2
121,81.0,72.1,71.4,152.6,52.2
122,99.1,90.8,82.0,173.2,76.7
123,98.5,88.0,75.5,162.4,66.1
124,84.4,75.9,69.4,150.7,50.5
125,96.5,91.9,73.2,156.0,63.7
126,98.5,90.8,80.6,164.0,66.6
127,86.2,73.1,80.6,167.5,61.0
128,86.3,82.0,69.6,152.6,58.1
129,87.0,82.1,77.0,162.3,60.9
130,81.5,74.0,73.8,158.4,57.5
131,105.7,102.4,76.8,167.1,79.7
132,113.7,93.2,69.9,155.2,74.5
133,87.4,82.7,73.8,163.3,61.4
134,100.4,89.6,71.5,153.0,67.7
