,Unnamed: 0,subjectid,chestcircumference,waistcircumference,"T Shirt size(chest,waistcircum)",weightkg,buttockcircumference,crotchheight,stature
0,0,10027,107.4,93.3,-,81.5,97.9,87.7,177.6
1,1,10032,102.1,87.0,-,72.6,94.4,85.1,170.2
2,2,10033,112.0,96.4,-,92.9,105.4,85.4,173.5
3,3,10092,111.4,85.7,-,79.4,99.1,76.9,165.5
4,4,10093,104.8,86.8,-,94.6,102.9,101.4,191.4
5,5,10115,106.6,95.0,-,80.2,97.3,82.8,172.0
6,6,10117,120.8,107.3,-,116.2,113.9,87.4,181.0
7,7,10237,108.7,101.0,-,95.4,106.8,93.4,185.0
8,8,10242,118.1,106.5,-,99.5,106.1,87.5,177.7
9,9,10244,96.4,82.4,-,70.2,91.6,90.9,181.1
10,10,10246,111.7,99.4,-,88.2,102.7,83.9,178.0
11,11,10260,96.1,86.6,-,70.1,92.8,87.2,173.3
12,12,10265,115.1,98.6,-,103.7,108.2,92.3,181.4
13,13,10272,123.1,104.5,-,111.6,111.2,91.3,186.1
14,14,10286,106.0,100.7,-,89.6,113.6,80.4,170.9
15,15,10293,109.2,103.3,-,92.4,100.9,88.5,174.0
16,16,10303,108.5,90.8,-,77.9,98.5,81.0,169.4
17,17,10304,111.8,102.8,-,96.9,105.1,86.0,176.6
18,18,10305,99.9,87.4,-,76.0,97.4,87.6,174.8
19,19,10310,112.7,99.9,-,90.8,103.5,86.1,179.4
20,20,10312,100.0,83.7,-,71.4,92.9,86.3,178.0
21,21,10319,97.7,88.0,-,74.6,101.3,78.5,168.0
22,22,10338,107.9,97.8,-,79.2,102.9,80.7,165.3
23,23,10339,101.1,82.7,-,91.5,100.8,101.9,195.9
24,24,10340,109.8,103.0,-,96.5,105.6,81.9,175.5
25,25,10341,95.7,88.5,-,67.5,92.3,78.8,163.0
26,26,10349,115.8,113.0,-,107.3,114.6,86.6,182.5
27,27,10354,96.4,91.2,-,79.3,99.6,85.7,179.5
28,28,10358,97.1,86.4,-,78.2,101.6,85.7,174.5
29,29,10361,105.7,96.5,-,88.2,104.8,86.4,181.8
30,30,10367,95.7,77.7,-,71.5,91.5,92.4,188.1
31,31,10368,110.8,106.3,-,94.7,109.2,85.4,176.0
32,32,10371,94.7,87.0,-,66.5,91.7,82.2,167.5
33,33,10385,104.3,96.6,-,87.9,104.7,92.0,185.2
34,34,10389,96.5,80.6,-,67.5,93.1,86.5,178.5
35,35,10404,117.4,109.6,-,88.4,101.5,86.7,179.1
36,36,10406,95.1,89.5,-,69.5,94.1,81.5,168.5
37,37,10419,118.2,121.4,-,121.8,122.1,89.2,185.0
38,38,10422,98.1,79.0,-,71.9,93.1,85.7,173.7
39,39,10423,108.6,100.2,-,88.1,103.2,81.8,174.3
40,40,10427,86.5,74.8,-,57.5,87.2,83.6,174.4
41,41,10447,120.5,104.3,-,87.6,102.6,82.3,167.9
42,42,10451,101.3,86.4,-,85.0,99.8,87.0,183.6
43,43,10460,115.2,96.9,-,86.5,98.8,82.9,173.0
44,44,10467,109.6,109.5,-,95.8,111.5,84.1,176.2
45,45,10471,95.7,77.0,-,66.7,90.1,76.5,166.9
46,46,10473,98.5,84.0,-,70.6,97.3,83.8,174.0
47,47,10482,106.3,102.8,-,84.7,100.2,81.5,170.9
48,48,10495,113.7,102.1,-,101.3,106.3,90.4,187.9
49,49,10497,110.6,106.1,-,85.6,105.1,78.9,167.4
50,50,10510,116.6,113.9,-,109.5,124.3,82.9,177.9
51,51,10515,108.1,92.2,-,83.4,100.7,89.4,184.4
52,52,10517,100.6,99.5,-,72.7,98.1,80.1,163.7
53,53,10523,115.3,104.7,-,98.6,103.0,83.3,175.4
54,54,10524,103.7,88.5,-,77.3,95.4,79.6,170.4
55,55,10525,146.9,137.9,-,140.0,126.5,89.7,184.0
56,56,10529,90.1,75.0,-,67.4,89.7,91.1,178.3
57,57,10533,107.1,97.0,-,88.4,106.7,81.3,174.8
58,58,10534,126.3,106.8,-,98.8,109.9,83.9,170.3
59,59,10553,114.6,101.2,-,95.2,102.3,89.0,185.2
60,60,10557,85.8,75.4,-,56.6,87.7,78.9,160.9
61,61,10558,104.4,92.6,-,71.7,96.8,85.2,170.9
